,기간,구별,인구,세대,세대당인구,연도
210,2020_3,광진구,361923,166857,2.09,2020
211,2020_3,동대문구,358679,167232,2.06,2020
212,2020_3,중랑구,400989,185109,2.14,2020
213,2020_3,성북구,449871,195379,2.25,2020
214,2020_3,강북구,313550,145790,2.13,2020
215,2020_3,도봉구,329300,139029,2.35,2020
216,2020_3,노원구,529532,218002,2.41,2020
217,2020_3,은평구,485842,213039,2.26,2020
218,2020_3,서대문구,323860,144494,2.17,2020
219,2020_3,마포구,383494,178495,2.09,2020
220,2020_3,양천구,460048,180309,2.53,2020
221,2020_3,강서구,589536,266366,2.19,2020
222,2020_3,구로구,435751,179792,2.26,2020
223,2020_3,금천구,249641,113887,2.04,2020
224,2020_3,영등포구,405982,182087,2.06,2020
225,2020_3,동작구,404617,184193,2.14,2020
226,2020_3,관악구,514555,275248,1.81,2020
227,2020_3,서초구,429995,173483,2.46,2020
228,2020_3,강남구,544085,234021,2.3,2020
229,2020_3,송파구,676673,281417,2.38,2020
230,2020_3,강동구,462275,194602,2.35,2020
231,2020_4,합계,9911088,4417954,2.19,2020
232,2020_4,종로구,158996,75003,1.99,2020
233,2020_4,중구,134635,63686,1.97,2020
234,2020_4,용산구,244645,113093,2.03,2020
235,2020_4,성동구,300505,135870,2.16,2020
236,2020_4,광진구,360109,167427,2.07,2020
237,2020_4,동대문구,357014,167598,2.05,2020
238,2020_4,중랑구,399562,185920,2.12,2020
239,2020_4,성북구,447056,195396,2.24,2020
240,2020_4,강북구,311569,145896,2.11,2020
241,2020_4,도봉구,327361,139114,2.34,2020
242,2020_4,노원구,527032,218270,2.4,2020
243,2020_4,은평구,484043,213914,2.24,2020
244,2020_4,서대문구,322952,144838,2.16,2020
245,2020_4,마포구,381858,178482,2.08,2020
246,2020_4,양천구,457781,180633,2.51,2020
247,2020_4,강서구,585901,266982,2.17,2020
248,2020_4,구로구,432488,180531,2.24,2020
249,2020_4,금천구,247835,114715,2.02,2020
250,2020_4,영등포구,407367,184714,2.05,2020
251,2020_4,동작구,401572,184229,2.12,2020
252,2020_4,관악구,509803,274811,1.8,2020
253,2020_4,서초구,429025,173502,2.45,2020
254,2020_4,강남구,544055,234872,2.3,2020
255,2020_4,송파구,673926,281959,2.37,2020
256,2020_4,강동구,463998,196499,2.34,2020
257,2021_1,합계,9828094,4400403,2.18,2021
258,2021_1,종로구,156567,74113,1.99,2021
259,2021_1,중구,133708,63746,1.95,2021
260,2021_1,용산구,243336,112881,2.03,2021
261,2021_1,성동구,298421,135883,2.15,2021
262,2021_1,광진구,356191,166638,2.06,2021
263,2021_1,동대문구,352570,165924,2.04,2021
264,2021_1,중랑구,396807,185506,2.11,2021
265,2021_1,성북구,444295,193965,2.24,2021
266,2021_1,강북구,307537,144410,2.11,2021
267,2021_1,도봉구,323752,138120,2.33,2021
268,2021_1,노원구,522225,217272,2.39,2021
269,2021_1,은평구,479607,212725,2.24,2021
270,2021_1,서대문구,318814,143180,2.15,2021
271,2021_1,마포구,378216,177170,2.08,2021
272,2021_1,양천구,456019,180682,2.51,2021
273,2021_1,강서구,582804,267442,2.16,2021
274,2021_1,구로구,426675,180027,2.23,2021
275,2021_1,금천구,244564,114402,2.01,2021
276,2021_1,영등포구,403070,184133,2.05,2021
277,2021_1,동작구,398205,183579,2.12,2021
278,2021_1,관악구,504140,273736,1.79,2021
279,2021_1,서초구,425103,172181,2.45,2021
280,2021_1,강남구,539538,233363,2.29,2021
281,2021_1,송파구,667115,280237,2.36,2021
282,2021_1,강동구,468815,199088,2.34,2021
283,2021_2,합계,9795426,4405638,2.17,2021
284,2021_2,종로구,155106,73525,1.99,2021
285,2021_2,중구,132259,62897,1.96,2021
286,2021_2,용산구,240665,111650,2.03,2021
287,2021_2,성동구,295767,134542,2.15,2021
288,2021_2,광진구,355306,166957,2.05,2021
289,2021_2,동대문구,352259,166372,2.03,2021
290,2021_2,중랑구,394679,185073,2.11,2021
291,2021_2,성북구,443206,194364,2.23,2021
292,2021_2,강북구,306093,144525,2.09,2021
293,2021_2,도봉구,322419,138387,2.31,2021
294,2021_2,노원구,520005,217322,2.37,2021
295,2021_2,은평구,479409,213662,2.22,2021
296,2021_2,서대문구,317699,143226,2.14,2021
297,2021_2,마포구,379984,178625,2.07,2021
298,2021_2,양천구,454288,181012,2.49,2021
299,2021_2,강서구,582995,269276,2.14,2021
300,2021_2,구로구,424582,180258,2.21,2021
301,2021_2,금천구,244685,115358,2.0,2021
302,2021_2,영등포구,402375,185025,2.04,2021
303,2021_2,동작구,397231,183859,2.11,2021
304,2021_2,관악구,502698,274565,1.78,2021
305,2021_2,서초구,422174,171574,2.44,2021
306,2021_2,강남구,536107,232707,2.28,2021
307,2021_2,송파구,664341,280707,2.35,2021
308,2021_2,강동구,469094,200170,2.32,2021
