,기간,구별,자동차 등록 합계
341,2019.07,강서구,203716
342,2019.07,구로구,143887
343,2019.07,금천구,87474
344,2019.07,영등포구,142869
345,2019.07,동작구,106050
346,2019.07,관악구,120620
347,2019.07,서초구,181739
348,2019.07,강남구,233869
349,2019.07,송파구,240289
350,2019.07,강동구,135441
352,2019.08,서울시,3120892
353,2019.08,종로구,50196
354,2019.08,중구,51672
355,2019.08,용산구,76773
356,2019.08,성동구,106612
357,2019.08,광진구,99428
358,2019.08,동대문구,98048
359,2019.08,중랑구,112960
360,2019.08,성북구,118480
361,2019.08,강북구,76351
362,2019.08,도봉구,96843
363,2019.08,노원구,152602
364,2019.08,은평구,129963
365,2019.08,서대문구,87389
366,2019.08,마포구,117440
367,2019.08,양천구,150109
368,2019.08,강서구,203422
369,2019.08,구로구,144047
370,2019.08,금천구,87512
371,2019.08,영등포구,142270
372,2019.08,동작구,106012
373,2019.08,관악구,120686
374,2019.08,서초구,182392
375,2019.08,강남구,233950
376,2019.08,송파구,240021
377,2019.08,강동구,135714
379,2019.09,서울시,3121687
380,2019.09,종로구,50208
381,2019.09,중구,51872
382,2019.09,용산구,76681
383,2019.09,성동구,106592
384,2019.09,광진구,99399
385,2019.09,동대문구,98024
386,2019.09,중랑구,113026
387,2019.09,성북구,118544
388,2019.09,강북구,76352
389,2019.09,도봉구,96800
390,2019.09,노원구,152564
391,2019.09,은평구,130109
392,2019.09,서대문구,87332
393,2019.09,마포구,117694
394,2019.09,양천구,149961
395,2019.09,강서구,203551
396,2019.09,구로구,144307
397,2019.09,금천구,87500
398,2019.09,영등포구,142153
399,2019.09,동작구,105986
400,2019.09,관악구,120850
401,2019.09,서초구,181878
402,2019.09,강남구,234328
403,2019.09,송파구,240168
404,2019.09,강동구,135808
406,2019.1,서울시,3121416
407,2019.1,종로구,50012
408,2019.1,중구,51741
409,2019.1,용산구,76589
410,2019.1,성동구,106537
411,2019.1,광진구,99155
412,2019.1,동대문구,97827
413,2019.1,중랑구,112798
414,2019.1,성북구,119081
415,2019.1,강북구,76343
416,2019.1,도봉구,96622
417,2019.1,노원구,152126
418,2019.1,은평구,130069
419,2019.1,서대문구,87276
420,2019.1,마포구,117882
421,2019.1,양천구,149841
422,2019.1,강서구,203829
423,2019.1,구로구,144319
424,2019.1,금천구,87409
425,2019.1,영등포구,141905
426,2019.1,동작구,105845
427,2019.1,관악구,120535
428,2019.1,서초구,181473
429,2019.1,강남구,234473
430,2019.1,송파구,240194
431,2019.1,강동구,137535
433,2019.11,서울시,3122433
434,2019.11,종로구,50076
435,2019.11,중구,51700
436,2019.11,용산구,76522
437,2019.11,성동구,106353
438,2019.11,광진구,99255
439,2019.11,동대문구,97953
440,2019.11,중랑구,112717
441,2019.11,성북구,119358
442,2019.11,강북구,76465
443,2019.11,도봉구,96525
444,2019.11,노원구,152102
445,2019.11,은평구,130007
446,2019.11,서대문구,87171
447,2019.11,마포구,117932
448,2019.11,양천구,149727
449,2019.11,강서구,203879
450,2019.11,구로구,144441
451,2019.11,금천구,87339
452,2019.11,영등포구,141796
453,2019.11,동작구,105624
454,2019.11,관악구,120325
455,2019.11,서초구,181370
456,2019.11,강남구,234733
457,2019.11,송파구,240473
458,2019.11,강동구,138590
460,2019.12,서울시,3124157
461,2019.12,종로구,50052
462,2019.12,중구,51736
463,2019.12,용산구,76521
464,2019.12,성동구,106263
465,2019.12,광진구,99299
466,2019.12,동대문구,97910
467,2019.12,중랑구,112723
468,2019.12,성북구,119321
469,2019.12,강북구,76364
470,2019.12,도봉구,96435
471,2019.12,노원구,152071
472,2019.12,은평구,129820
473,2019.12,서대문구,87104
474,2019.12,마포구,117907
475,2019.12,양천구,149673
476,2019.12,강서구,204675
477,2019.12,구로구,144465
478,2019.12,금천구,87581
479,2019.12,영등포구,142010
480,2019.12,동작구,105472
481,2019.12,관악구,120050
482,2019.12,서초구,181182
483,2019.12,강남구,235415
484,2019.12,송파구,240559
485,2019.12,강동구,139549
487,2020.01,서울시,3127566
488,2020.01,종로구,50098
489,2020.01,중구,51411
490,2020.01,용산구,76592
491,2020.01,성동구,106135
492,2020.01,광진구,99306
493,2020.01,동대문구,97964
494,2020.01,중랑구,112714
